jobTitle,postedDate,jobDescription,jobUrl
Senior iOS Developer (Hybrid Work),9-Jan-23,"<p><strong>about the company</strong></p><p>A reputable telecommunications provider company with their office based in Kuala Lumpur (listed on the Malaysia Stock Exchange).</p><p><strong>about the job</strong></p><ul><li>To support the full software development lifecycle, from technical design, development, testing, deployment and support of end users.</li><li>Work with technical teams to finalize technical design, including the integration of existing or new software solutions to address the business requirements.</li><li>Ensure quality software enhancement in terms of functionalities, reliability, performance, security and ease of maintenance.</li><li>Conform to standard development convention and good design practices.</li><li>Prepare technical and business documentation, and to ensure all project documents/codes are properly managed.</li></ul><p><strong>about the team/ environment</strong></p><ul><li>Positive culture that provides freedom and encourages employees to be creative and innovative in their work. Cool and energetic environment that promotes and encourages work life balance.</li><li>Smart casual dress code.</li></ul><p><strong>skills and experience</strong></p><ul><li>Bachelor's/Master's degree in computer science, software engineering or equivalent industry experience</li><li>Must have detailed knowledge and experience in Software Development Lifecycle (i.e. Waterfall &amp; Agile).</li><li>Must be able to translate business requirements into system designs, solutions and design concepts using tools as UML and flowchart to express system design needs.</li><li>Well versed in relational database design and implementation.</li><li>Strong knowledge in Objective C/Swift and Xcode.</li><li>Familiar with third party SDK/API integration such as Firebase and etc.</li><li>Familiar with mobile application deployment process.</li><li>Familiar with GIT/SVN Versioning Control and source safe environment.</li><li>Strong knowledge on Object-Oriented Design &amp; Programming Concept.</li></ul><p><strong>how to apply</strong></p><ul><li>To apply, send your updated CV to us via the link and I will contact you as soon as possible.</li><li>Alternatively, you may email me your resume.</li></ul>",https://www.jobstreet.com.my/en/job/senior-ios-developer-hybrid-work-5240310
IT Supervisor,27-Jan-23,"<p><strong>Require to know using opencart, also familiar with languages:</strong></p><ul><li>Frontend - hybrid app+ vue and backend - php+vue.</li><li>Can develop Android and IOS mobile apps and website development.</li><li>Able to handle ERP or other system development would be an asset.</li><li>Min 3 year full stack/front end developer experience, including to supervise a team.</li><li>Prefer can speak English and Mandarin is an added advantage.</li></ul><p><strong>Responsibilities:</strong></p><ul><li>Collaborating with other departments and professionals in the development of IT systems.</li><li>Delegating tasks and developing budgets and work schedules.</li><li>Staying up-to-date with field advancements and ensuring the team receives refresher training as well.</li></ul><p>Unicorn Consultants Limited is a government approved IT company with international aspirations. Our head office is situated in Hong Kong and we have offices spreading in UK and China.</p><p>To cope with our business growth, we are going to set up our office in Kuala Lumpur and recruit our staff who are local.</p><p><strong>Working Hour:</strong></p><ul><li>10:00 - 18:00</li><li>5-day work per week</li><li>Public holiday</li></ul><p>Salary negotiable. Please provide your expected salary in CV.</p><p>Year-end performance bonus available.</p><p>Interested parties please send CV by clicking ""<strong>APPLY NOW!</strong>"".</p>",https://www.jobstreet.com.my/en/job/it-supervisor-5258012
Salesforce Developer,19-Jan-23,"<p>Our client is a globally recognised organisation and due to expansion plans they are currently seeking a Salesforce Developer as part of the team.</p><p><strong>Client Details</strong></p><p>Our client is a globally recognised organisation and due to expansion plans they are currently seeking a Salesforce Developer as part of the team.</p><p><strong>Description</strong></p><ul><li>Working with Salesforce IT peers to analyze business strategy and trends, as well as change requirements, and remedy deficiencies in the current-state technologies to derive the future-state technology architecture.</li><li>Lead development of technical and infrastructure solutions within Salesforce</li><li>Define and present the solution options for each new project and prepare recommendations with ballpark estimates to business users ensuring the options are aligned with business needs and strategy.</li><li>Manage integration and data management/migration.</li><li>Identify technology and delivery risks associated with proposed solutions to ensure that necessary measures are taken to mitigate these risks.</li><li>Work closely with the project team and key stakeholders to develop the overall solution architecture to ensure all requirements from key stakeholders are captured in the overall solution architecture.</li><li>Research market trends and identify upcoming solutions, ensure solutions remain competitive against the market trends.</li></ul><p><strong>Profile</strong></p><ul><li>University degree in Computer Engineering / Science or Management related fields.</li><li>Minimum 6 years of years relevant experience with 4+ years in solution architect role managing medium to large scale Salesforce system implementation.</li><li>Experience in retail domain is preferred.</li><li>Have proved capability in architecting solutions independently and design software on the platform with hands-on participation in building the solution for large implementation.</li><li>Good knowledge of Marketing Cloud, Service Cloud, Commerce Cloud, Sales Cloud, and Community Cloud</li><li>Working knowledge of Salesforce integration methods and concepts.</li><li>Experience working with Apex Classes, Apex triggers, Batch Apex, Lightning Web Components (LWC), Visual Force (VF Pages), Integration (REST, SOAP, Change Data Capture, Platform Events), API, SOQL and SOSL.</li><li>Experienced in Salesforce Data migrations with native tools such as Data Loader</li><li>Salesforce Developer and other certifications required.</li><li>Experience in one or more multi-org Salesforce implementations.</li><li>Experience in Tableau is a plus.</li><li>Strong analytical and problem-solving skills along with being organized, structured, and assertive</li><li>Candidates fluent in Mandarin &amp; Cantonese and English are prefered as the role requires dealing with Mandarin-speaking clients</li></ul><p><strong>Job Offer</strong></p><ul><li>Attractive remuneration package</li><li>Be part of a globally recognized organisation</li><li>Enhance your skills in Salesforce</li></ul><p>Page Group Malaysia is acting as an Employment Agency in relation to this vacancy.</p>",https://www.jobstreet.com.my/en/job/salesforce-developer-5252363
